"site_id","masterid","function_","fun_score","overall_score","fun_cond","overall_cond","project_id","nominal_lon","nominal_lat","stratum","wgt","waterbody","bed_type","sample_date","central_depth_mhw","distance_to_inlet","inlet_status","site_protection","site_protection_granular","natural_or_restored","species","selection","scorable"
"CSC","906MBMCSC","nekton.habitat",3.5,3.29166666666667,"best observed condition","best observed condition","B23-SAV",-117.2469,32.76123,"large_embayment",4194.4,"Mission Bay","meadow","10/3/24",2.8,0.716,"open","U","U","","",NA,"scorable"
"CSC","906MBMCSC","waterfowl.habitat",4,3.29166666666667,"best observed condition","best observed condition","B23-SAV",-117.2469,32.76123,"large_embayment",4194.4,"Mission Bay","meadow","10/3/24",2.8,0.716,"open","U","U","","",NA,"scorable"
"CSA","906MBVCSA","substrate.stabilization",2.5,2.16666666666667,"moderate condition","moderate condition","B23-SAV",-117.2437,32.7711,"large_embayment",4194.4,"Mission Bay","bed","9/26/24",2.1,1.5689,"open","U","U","","",NA,"scorable"
"CSA","906MBVCSA","carbon.sequestration",1.5,2.16666666666667,"lowest observed condition","moderate condition","B23-SAV",-117.2437,32.7711,"large_embayment",4194.4,"Mission Bay","bed","9/26/24",2.1,1.5689,"open","U","U","","",NA,"scorable"
"CSA","906MBVCSA","primary.production",2.25,2.16666666666667,"moderate condition","moderate condition","B23-SAV",-117.2437,32.7711,"large_embayment",4194.4,"Mission Bay","bed","9/26/24",2.1,1.5689,"open","U","U","","",NA,"scorable"
"CSA","906MBVCSA","secondary.production",2.41666666666667,2.16666666666667,"moderate condition","moderate condition","B23-SAV",-117.2437,32.7711,"large_embayment",4194.4,"Mission Bay","bed","9/26/24",2.1,1.5689,"open","U","U","","",NA,"scorable"
"CSA","906MBVCSA","wq",1.75,2.16666666666667,"lowest observed condition","moderate condition","B23-SAV",-117.2437,32.7711,"large_embayment",4194.4,"Mission Bay","bed","9/26/24",2.1,1.5689,"open","U","U","","",NA,"scorable"
"CSA","906MBVCSA","nekton.habitat",2.25,2.16666666666667,"moderate condition","moderate condition","B23-SAV",-117.2437,32.7711,"large_embayment",4194.4,"Mission Bay","bed","9/26/24",2.1,1.5689,"open","U","U","","",NA,"scorable"
"CSA","906MBVCSA","waterfowl.habitat",2.5,2.16666666666667,"moderate condition","moderate condition","B23-SAV",-117.2437,32.7711,"large_embayment",4194.4,"Mission Bay","bed","9/26/24",2.1,1.5689,"open","U","U","","",NA,"scorable"
"INC","906MBVINC","substrate.stabilization",1.75,1.97916666666667,"lowest observed condition","moderate condition","B23-SAV",-117.23834,32.77681,"large_embayment",4194.4,"Mission Bay","bed","9/30/24",4.3,2.3511,"open","U","U","","",NA,"scorable"
"INC","906MBVINC","carbon.sequestration",2.5,1.97916666666667,"moderate condition","moderate condition","B23-SAV",-117.23834,32.77681,"large_embayment",4194.4,"Mission Bay","bed","9/30/24",4.3,2.3511,"open","U","U","","",NA,"scorable"
"INC","906MBVINC","primary.production",1.6875,1.97916666666667,"lowest observed condition","moderate condition","B23-SAV",-117.23834,32.77681,"large_embayment",4194.4,"Mission Bay","bed","9/30/24",4.3,2.3511,"open","U","U","","",NA,"scorable"
"INC","906MBVINC","secondary.production",1.91666666666667,1.97916666666667,"moderate condition","moderate condition","B23-SAV",-117.23834,32.77681,"large_embayment",4194.4,"Mission Bay","bed","9/30/24",4.3,2.3511,"open","U","U","","",NA,"scorable"
"INC","906MBVINC","wq",2.25,1.97916666666667,"moderate condition","moderate condition","B23-SAV",-117.23834,32.77681,"large_embayment",4194.4,"Mission Bay","bed","9/30/24",4.3,2.3511,"open","U","U","","",NA,"scorable"
"INC","906MBVINC","nekton.habitat",1.75,1.97916666666667,"lowest observed condition","moderate condition","B23-SAV",-117.23834,32.77681,"large_embayment",4194.4,"Mission Bay","bed","9/30/24",4.3,2.3511,"open","U","U","","",NA,"scorable"
"INC","906MBVINC","waterfowl.habitat",2,1.97916666666667,"moderate condition","moderate condition","B23-SAV",-117.23834,32.77681,"large_embayment",4194.4,"Mission Bay","bed","9/30/24",4.3,2.3511,"open","U","U","","",NA,"scorable"
"IYP","906MBVIYP","substrate.stabilization",4,3.625,"best observed condition","best observed condition","B23-SAV",-117.23715,32.7715,"large_embayment",4194.4,"Mission Bay","meadow","9/24/24",2.2,2.0741,"open","U","U","","",NA,"scorable"
"IYP","906MBVIYP","carbon.sequestration",3.5,3.625,"best observed condition","best observed condition","B23-SAV",-117.23715,32.7715,"large_embayment",4194.4,"Mission Bay","meadow","9/24/24",2.2,2.0741,"open","U","U","","",NA,"scorable"
"IYP","906MBVIYP","primary.production",2.875,3.625,"good condition","best observed condition","B23-SAV",-117.23715,32.7715,"large_embayment",4194.4,"Mission Bay","meadow","9/24/24",2.2,2.0741,"open","U","U","","",NA,"scorable"
