OID_,UID,siteID,siteuse,replsite,lon_WGS84,lat_WGS84,stratum,wgt,ip,caty,GRID_ID,location,year,MERGE_SRC,class_geog,class_e,class_djg,Accept/Reject,Comment,Replaces
66,DJGSite-066,Site-066,Over,Next,-117.9668995,33.63956479,small_embayment,372.8,0.002682403,None,KSY-3799,Huntington - brookhurst,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
67,DJGSite-067,Site-067,Over,Next,-117.8866176,33.62385045,small_embayment,372.8,0.002682403,None,LFV-3869,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
68,DJGSite-068,Site-068,Over,Next,-117.9026498,33.62115667,small_embayment,372.8,0.002682403,None,LDH-3884,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
69,DJGSite-069,Site-069,Over,Next,-118.2834936,33.71349401,small_embayment,372.8,0.002682403,None,IUE-3458,Cabrillo Marina,2022,polygons_new_2022,north central,Open bay_harbor,small_embayment,,,
70,DJGSite-070,Site-070,Over,Next,-117.9658723,33.63937096,small_embayment,372.8,0.002682403,None,KTD-3799,Huntington - brookhurst,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
71,DJGSite-071,Site-071,Over,Next,-117.8996296,33.62016712,small_embayment,372.8,0.002682403,None,LDU-3889,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
72,DJGSite-072,Site-072,Over,Next,-117.3982141,33.21593763,small_embayment,372.8,0.002682403,None,OHY-5840,Del Mar Boat Basin,2021,san_diego_eelgrass_sites_2021_2022_2023\delmarboatbasin_eelgrass_oct2021.shp,south,Open bay_harbor,small_embayment,,,
73,DJGSite-073,Site-073,Over,Next,-118.1804475,33.76129171,small_embayment,372.8,0.002682403,None,JKL-3213,East San Pedro Bay,2016,eelgrass,north central,Open bay_harbor,small_embayment,,,
74,DJGSite-074,Site-074,Over,Next,-117.9723711,33.64106461,small_embayment,372.8,0.002682403,None,KSC-3792,Huntington - brookhurst,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
75,DJGSite-075,Site-075,Over,Next,-117.8865821,33.64546824,small_embayment,372.8,0.002682403,None,LFT-3762,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
76,DJGSite-076,Site-076,Over,Next,-117.8961636,33.62043115,small_embayment,372.8,0.002682403,None,LEI-3887,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
77,DJGSite-077,Site-077,Over,Next,-118.281534,33.71487613,small_embayment,372.8,0.002682403,None,IUM-3451,Cabrillo Marina,2022,polygons_new_2022,north central,Open bay_harbor,small_embayment,,,
78,DJGSite-078,Site-078,Over,Next,-118.1402132,33.75367389,small_embayment,372.8,0.002682403,None,JQW-3248,East San Pedro Bay,2016,eelgrass,north central,Open bay_harbor,small_embayment,,,
79,DJGSite-079,Site-079,Over,Next,-117.8883328,33.64308024,small_embayment,372.8,0.002682403,None,LFM-3774,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
80,DJGSite-080,Site-080,Over,Next,-117.6976178,33.45676134,small_embayment,372.8,0.002682403,None,MKU-4679,Dana Point Harbor Common Eelgrass Beds,2023,san_diego_eelgrass_sites_2021_2022_2023\dana_point_harbor_eelgrass_march2023.shp,south central,Open bay_harbor,small_embayment,,,
81,DJGSite-081,Site-081,Over,Next,-118.1632685,33.76049171,small_embayment,372.8,0.002682403,None,JNE-3216,East San Pedro Bay,2016,eelgrass,north central,Open bay_harbor,small_embayment,,,
82,DJGSite-082,Site-082,Over,Next,-117.9662866,33.63883839,small_embayment,372.8,0.002682403,None,KTB-3802,Huntington - brookhurst,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
83,DJGSite-083,Site-083,Over,Next,-117.8871988,33.6313592,small_embayment,372.8,0.002682403,None,LFS-3832,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
84,DJGSite-084,Site-084,Over,Next,-117.9019327,33.62094166,small_embayment,372.8,0.002682403,None,LDK-3885,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
85,DJGSite-085,Site-085,Over,Next,-118.15942,33.76034171,small_embayment,372.8,0.002682403,None,JNU-3216,East San Pedro Bay,2016,eelgrass,north central,Open bay_harbor,small_embayment,,,
86,DJGSite-086,Site-086,Over,Next,-117.9601891,33.63471269,small_embayment,372.8,0.002682403,None,KUB-3822,Huntington - talbert,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
87,DJGSite-087,Site-087,Over,Next,-117.9050487,33.61877717,small_embayment,372.8,0.002682403,None,LCX-3896,Newport back bay,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
88,DJGSite-088,Site-088,Over,Next,-117.4030431,33.21325592,small_embayment,372.8,0.002682403,None,OHE-5854,Del Mar Boat Basin,2021,san_diego_eelgrass_sites_2021_2022_2023\delmarboatbasin_eelgrass_oct2021.shp,south,Open bay_harbor,small_embayment,,,
89,DJGSite-089,Site-089,Over,Next,-118.1469067,33.75668975,small_embayment,372.8,0.002682403,None,JPU-3233,East San Pedro Bay,2016,eelgrass,north central,Open bay_harbor,small_embayment,,,
90,DJGSite-090,Site-090,Over,Next,-117.9762647,33.64340728,small_embayment,372.8,0.002682403,None,KRL-3780,Huntington - magnolia,2022,polygons_new_2022,south central,Open bay_harbor,small_embayment,,,
91,DJGSite-091,Site-091,Over,Next,-117.2106413,32.78317745,large_embayment,4194.4,0.000238413,None,POL-7961,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
92,DJGSite-092,Site-092,Over,Next,-117.8982109,33.60503137,large_embayment,4194.4,0.000238413,None,LEB-3964,Newport Bay,2016,eelgrass,south central,Open bay_harbor,large_embayment,,,
93,DJGSite-093,Site-093,Over,Next,-117.1214304,32.61748605,large_embayment,4194.4,0.000238413,None,QDU-8770,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
94,DJGSite-094,Site-094,Over,Next,-117.140785,32.69009932,large_embayment,4194.4,0.000238413,None,QAG-8413,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
95,DJGSite-095,Site-095,Over,Next,-117.2415001,32.7734391,large_embayment,4194.4,0.000238413,None,PJN-8013,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
96,DJGSite-096,Site-096,Over,Next,-117.8838947,33.60164337,large_embayment,4194.4,0.000238413,None,LGJ-3979,Newport Bay,2016,eelgrass,south central,Open bay_harbor,large_embayment,,,
97,DJGSite-097,Site-097,Over,Next,-117.106413,32.62477539,large_embayment,4194.4,0.000238413,None,QGE-8732,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
98,DJGSite-098,Site-098,Over,Next,-117.2140937,32.67525745,large_embayment,4194.4,0.000238413,None,POM-8496,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
99,DJGSite-099,Site-099,Over,Next,-117.2254813,32.76779128,large_embayment,4194.4,0.000238413,None,PMD-8039,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
100,DJGSite-100,Site-100,Over,Next,-117.2111388,32.78945143,large_embayment,4194.4,0.000238413,None,POI-7930,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
101,DJGSite-101,Site-101,Over,Next,-117.1176278,32.60405306,large_embayment,4194.4,0.000238413,None,QEM-8836,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
102,DJGSite-102,Site-102,Over,Next,-117.2218996,32.70630309,large_embayment,4194.4,0.000238413,None,PNB-8343,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
103,DJGSite-103,Site-103,Over,Next,-117.2321827,32.78088453,large_embayment,4194.4,0.000238413,None,PKZ-7975,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
104,DJGSite-104,Site-104,Over,Next,-117.8820505,33.59696223,large_embayment,4194.4,0.000238413,None,LGR-4002,Newport Bay,2016,eelgrass,south central,Open bay_harbor,large_embayment,,,
105,DJGSite-105,Site-105,Over,Next,-117.2517926,32.78621549,large_embayment,4194.4,0.000238413,None,PHU-7951,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
106,DJGSite-106,Site-106,Over,Next,-117.1440664,32.6494015,large_embayment,4194.4,0.000238413,None,PZY-8615,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
107,DJGSite-107,Site-107,Over,Next,-117.1912955,32.7244294,large_embayment,4194.4,0.000238413,None,PRX-8249,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
108,DJGSite-108,Site-108,Over,Next,-117.2142366,32.79639605,large_embayment,4194.4,0.000238413,None,PNU-7896,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
109,DJGSite-109,Site-109,Over,Next,-117.1275086,32.61462296,large_embayment,4194.4,0.000238413,None,QCV-8785,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
110,DJGSite-110,Site-110,Over,Next,-117.1487602,32.67977523,large_embayment,4194.4,0.000238413,None,PZA-8465,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
111,DJGSite-111,Site-111,Over,Next,-117.2138072,32.77538418,large_embayment,4194.4,0.000238413,None,PNZ-8000,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
112,DJGSite-112,Site-112,Over,Next,-117.8920002,33.60047679,large_embayment,4194.4,0.000238413,None,LFB-3986,Newport Bay,2016,eelgrass,south central,Open bay_harbor,large_embayment,,,
113,DJGSite-113,Site-113,Over,Next,-117.1267332,32.62250964,large_embayment,4194.4,0.000238413,None,QCX-8746,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
114,DJGSite-114,Site-114,Over,Next,-117.1671509,32.7082489,large_embayment,4194.4,0.000238413,None,PVW-8327,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
115,DJGSite-115,Site-115,Over,Next,-117.2196732,32.77027297,large_embayment,4194.4,0.000238413,None,PNB-8026,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
116,DJGSite-116,Site-116,Over,Next,-117.9023996,33.61308503,large_embayment,4194.4,0.000238413,None,LDJ-3924,Newport Bay,2016,eelgrass,south central,Open bay_harbor,large_embayment,,,
117,DJGSite-117,Site-117,Over,Next,-117.1558273,32.6696915,large_embayment,4194.4,0.000238413,None,PXY-8516,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
118,DJGSite-118,Site-118,Over,Next,-117.2329709,32.70584086,large_embayment,4194.4,0.000238413,None,PLH-8347,San Diego Bay,2017,eelgrass,south,Open bay_harbor,large_embayment,,,
119,DJGSite-119,Site-119,Over,Next,-117.2356484,32.77026485,large_embayment,4194.4,0.000238413,None,PKM-8028,Mission Bay,2023,per meeting,south,Open bay_harbor,large_embayment,,,
120,DJGSite-120,Site-120,Over,Next,-118.2532275,33.74665156,large_embayment,4194.4,0.000238413,None,IYW-3291,Port of Los Angeles/Port of Long Beach,2018,eelgrass,north central,Open bay_harbor,large_embayment,,,
