project_id,waterbody,sample_date,site_id,collection_method,nominal_depth,depth_units,nominal_lat,nominal_lon,bed_type,sample_n,field_org,central_depth_mhw,central_depth_raw,stratum,bed_perimeter,bed_perimeter_unit,wgt,distance to nearest inlet,inlet status (open/closed),site protection status (P/U),natural vs restored,species
B23-SAV,Port of Los Angeles ,11/12/24,B23-SAV-015,cross-3parallel,2.774,m,33.7134,-118.2825,meadow,13,Merkel,2.774,1.524,small_embayment,88,m,372.8,3.8547,open,P,,
B23-SAV,Newport Bay,10/7/24,B23-SAV-018,cross-3parallel,2.888,m,33.6213,-117.9011,NA,13,Merkel,2.888,3.048,small_embayment,144,m,372.8,3.0288,open,U,,
B23-SAV,Port of Los Angeles ,11/11/24,B23-SAV-020,patch,2.9036,m,33.7595,-118.156,patch,2,Merkel,2.904,2.134,small_embayment,12,m,372.8,6.28,open,U,,
B23-SAV,San Diego South Bay,10/2/24,B23-SAV-022,cross-3parallel,2.3936,m,32.7368,-117.2077,meadow,13,Merkel,2.394,2.134,large_embayment,140,m,4194.4,12.1879,open,U,,
B23-SAV,San Diego Bay,11/7/24,B23-SAV-023,cross-3parallel,1.8188,m,32.611,-117.1254,meadow,13,Merkel,1.819,1.829,large_embayment,140,m,4194.4,2.5265,open,P,,
B23-SAV,Newport Bay,12/3/24,B23-SAV-025,cross-3parallel,2.648,m,33.6057,-117.8989,bed,13,Merkel,2.648,3.048,large_embayment,56,m,4194.4,4.4027,open,U,,
B23-SAV,San Diego Bay,10/2/24,B23-SAV-026,cross-3parallel,4.6676,m,32.7245,-117.2082,fringing bed,10,Merkel,4.668,3.658,large_embayment,112,m,4194.4,13.0694,open,U,,
B23-SAV,San Diego South Bay,10/1/24,B23-SAV-027,cross-3parallel,2.1516,m,32.6047,-117.1191,meadow,13,Merkel,2.152,1.372,large_embayment,127,m,4194.4,6.6162,open,U,,
B23-SAV,San Diego Bay,11/7/24,B23-SAV-029,cross-3parallel,3.6676,m,32.6832,-117.1574,meadow,13,Merkel,3.668,3.658,large_embayment,140,m,4194.4,7.9777,open,U,,
B23-SAV,San Diego South Bay,9/30/24,B23-SAV-030,cross-3parallel,2.704,m,32.6565,-117.1484,meadow,13,Merkel,2.704,1.524,large_embayment,140,m,4194.4,7.9777,open,P,,
B23-SAV,Newport Bay,10/7/24,B23-SAV-031,cross-3parallel,1.6188,m,32.6565,-117.1484,NA,13,Merkel,1.619,1.829,small_embayment,144,m,4194.4,3.8284,open,P,,
B23-SAV,Bolsa Chica,11/20/24,B23-SAV-032,cross-3parallel,2.314,m,33.6197,-117.9029,meadow,13,Merkel,2.314,1.524,estuary,145,m,856.2,0.5538,open,P,,
B23-SAV,Batiquitos Lagoon,11/18/24,B23-SAV-035,cross-3parallel,1.424,m,33.0863,-117.308,bed,13,Merkel,1.424,1.524,estuary,100,m,856.2,0.6825,open,U,,
B23-SAV,San Diego Estuary,11/19/24,B23-SAV-036,patch,1.0596,m,32.7574,-117.2459,patch,2,Merkel,1.06,0.61,estuary,9,m,856.2,,,,,
B23-SAV,San Dieguito Lagoon,10/14/25,B23-SAV-060,3parallel,1.2192,m,33.6329,-117.9561,meadow,60,SONGS_UCSB,1.329,1.219,estuary,NA,m,865.2,1.61,open,U,restored,Zostera marina
B23-SAV,Magnolia Marsh,11/19/24,B23-SAV-063,cross-3parallel,1.3244,m,33.6429,-117.9726,NA,13,Merkel,1.324,0.914,small_embayment,125,m,372.8,2.4499,open,U,,
B23-SAV,Port of Los Angeles ,11/11/24,B23-SAV-064,cross-3parallel,2.7988,m,33.7608,-118.162,NA,13,Merkel,2.799,1.829,small_embayment,76,m,372.8,0.264,open,U,,
B23-SAV,Dana Point Harbor,11/18/24,B23-SAV-066,patch,5.0064,m,33.4561,-117.6951,patch,2,Merkel,5.006,5.486,small_embayment,4,m,372.8,4.6308,open,U,,
B23-SAV,Mission Bay,11/18/24,B23-SAV-092,cross-3parallel,1.9892,m,32.7807,-117.2128,NA,13,Merkel,1.989,1.219,large_embayment,125,m,4194.4,2.6806,open,U,,
B23-SAV,Alamitos Bay,12/2/24,B23-SAV-901,cross-3parallel,2.2188,m,33.7634,-118.1156,bed,13,Merkel,2.219,1.829,NA,60,m,NA,1.056,open,U,,
B23-SAV,Alamitos Bay,12/2/24,B23-SAV-902,cross-3parallel,2.4444,m,33.7473,-118.1184,NA,13,Merkel,2.444,0.914,NA,118,m,NA,3.1525,open,U,,
B23-SAV,Alamitos Bay,12/2/24,B23-SAV-903,patch,1.8088,m,33.7679,-118.1298,patch,2,Merkel,1.809,1.829,NA,25,m,NA,2.3897,open,U,,
B23-SAV,Alamitos Bay,12/2/24,B23-SAV-904,patch,4.718,m,33.7243,-118.0721,patch,2,Merkel,4.718,3.048,NA,9,m,NA,0.8014,open,U,,
B23-SAV,San Diego Bay (Zuniga Jetty),11/25/24,B23-SAV-905,cross-3parallel,6.1516,m,32.6731,-117.2227,bed,13,Merkel,6.152,5.182,NA,140,m,NA,0.7544,open,U,,
B23-SAV,Mission Bay,11/25/24,B23-SAV-906,patch,2.1364,m,32.758,-117.2453,patch,3,Merkel,2.136,1.676,NA,3,m,NA,0.78,open,P,,
B23-SAV,San Elijo Lagoon,12/4/24,B23-SAV-907,patch,1.4144,m,33.0129,-117.2747,patch,1,Merkel,1.414,0.914,NA,1,m,NA,2.4418,open,U,,
B23-SAV,Mission Bay,11/25/24,B23-SAV-908,cross-parallel,1.4896,m,32.7771,-117.2373,meadow,7,Merkel,1.49,0.61,NA,106,m,NA,0.1449,open,U,,
B23-SAV,King Harbor,11/25/24,B23-SAV-909,patch,10.4088,m,33.8421,-118.3963,patch,2,Merkel,10.409,9.449,NA,14,m,NA,0.48,open,U,,
B23-SAV,Oceanside Harbor,11/26/24,B23-SAV-910,patch,4.7676,m,33.2105,-117.4031,patch,3,Merkel,4.768,3.658,NA,12,m,NA,9.5694,open,P,natural,
B23-SAV,La Jolla Cove,11/26/24,B23-SAV-991,patch,8.6196,m,32.854,-117.2655,patch,3,Merkel,8.62,8.23,NA,20,m,NA,,,,,
B23-SAV,Santa Cruz Island,10/23/24,B23-SAV-Santa Cruz Island,3parallel,5.1816,m,,,bed,14,NOAA/CINMS,,,NA,NR,m,NA,,,,,Zostera pacifica
RESCQ,Seal Beach NWR (Signal Pond),11/21/24,RESCQ-Site-001,cross-parallel,0.9344,m,33.7425,-118.0804,bed,7,Merkel,0.934,0.914,estuary,140,m,856.2,,,,,
RESCQ,Bolsa Chica,12/4/23,RESCQ-Site-002,cross-3parallel,,m,33.68647342,-118.0354766,,3,CSULB,,,estuary,,,856.2,,,,,
RESCQ,Seal Beach NWR (Case Pond),11/21/24,RESCQ-Site-003,cross-parallel,1.2544,m,33.7463,-118.072,fringing bed,7,Merkel,1.254,0.914,estuary,110,m,856.2,,,,,
RESCQ,Batiquitos Lagoon,11/18/24,RESCQ-Site-004,cross-parallel,1.5088,m,33.089,-117.2898,meadow,7,Merkel,1.509,1.829,estuary,140,m,856.2,,,,,
RESCQ,Batiquitos Lagoon,10/24/24,RESCQ-Site-004,cross-parallel,1.3,m,33.08883,-117.2895,meadow,5,MLML,1.3,0.9,NA,140,m,NA,,,,,
RESCQ,Agua Hedionda Lagoon,10/11/24,RESCQ-Site-007,cross,1.2492,m,33.1418,-117.3317,fringing bed,5,Merkel,1.249,1.219,estuary,100,m,856.2,,,,,
RESCQ,Agua Hedionda Lagoon,10/11/24,RESCQ-Site-008,cross-parallel,1.894,m,33.1425,-117.3224,bed,7,Merkel,1.894,1.524,estuary,112,m,856.2,,,,,
RESCQ,Seal Beach NWR,11/20/24,RESCQ-Site-009,cross-parallel,0.8544,m,33.7309,-118.0838,fringing bed,7,Merkel,0.854,0.914,estuary,120,m,856.2,,,,,
RESCQ,Seal Beach NWR,11/20/24,RESCQ-Site-010,cross-parallel,1.0492,m,33.7364,-118.0759,meadow,7,Merkel,1.049,1.219,estuary,140,m,856.2,,,,,
